DIVISION,DEPARTMENT,BASELINE_START,BASELINE_END,COMPARISON_START,COMPARISON_END,BASELINE_VOLUME,CURRENT_VOLUME,BASELINE_AVG_PRICE,CURRENT_AVG_PRICE,BASELINE_REVENUE,CURRENT_REVENUE,VOLUME_CHANGE_PCT,PRICE_CHANGE_PCT,REVENUE_CHANGE_PCT,REVIEW_SCORE_CHANGE,DELIVERY_DAYS_CHANGE,DRIFT_STATUS,CONFIDENCE_LEVEL,DRIFT_SEVERITY_RANK,DIVISION_AVG_PRICE_CHANGE,BUSINESS_EXPLANATION,RECOMMENDED_ACTION
Beauty & Wellness,Perfumery,2018-07-01,2018-07-31,2018-08-01,2018-08-31,201.0,223.0,105.82970149253731,112.18695067264574,24492.31,28660.53,10.95,6.01,17.02,-0.3,-0.1,STABLE,High,1,5.96,Perfumery is broadly stable versus the selected baseline period.,Monitor the department and keep the current commercial plan.
Beauty & Wellness,Health Beauty,2018-07-01,2018-07-31,2018-08-01,2018-08-31,782.0,843.0,134.933094629156,142.91306049822066,122416.14,136823.27,7.8,5.91,11.77,0.15,-2.19,STABLE,High,2,5.96,Health Beauty is broadly stable versus the selected baseline period.,Monitor the department and keep the current commercial plan.
Electronics,Small Appliances,2018-07-01,2018-07-31,2018-08-01,2018-08-31,42.0,24.0,194.31785714285715,260.71083333333337,9181.61,6953.51,-42.86,34.17,-24.27,-0.43,-0.09,DRIFT,Directional,1,15.72,"Small Appliances moved materially versus the baseline, with -24.3% revenue change, -42.9% unit change, and 34.2% average price movement.","Review demand generation, availability, and merchandising placement before discounting."
Electronics,Electronics,2018-07-01,2018-07-31,2018-08-01,2018-08-31,152.0,120.0,61.09177631578948,89.74558333333333,11777.32,12967.37,-21.05,46.9,10.1,-0.09,0.51,DRIFT,Medium,2,15.72,"Electronics moved materially versus the baseline, with 10.1% revenue change, -21.1% unit change, and 46.9% average price movement.",Test targeted offers or bundles for high-intent customers instead of broad markdowns.
Electronics,Telephony,2018-07-01,2018-07-31,2018-08-01,2018-08-31,224.0,277.0,118.47995535714286,135.53028880866427,30549.73,42480.9,23.66,14.39,39.05,0.01,-0.39,DRIFT,High,3,15.72,"Telephony moved materially versus the baseline, with 39.0% revenue change, 23.7% unit change, and 14.4% average price movement.",Monitor the department and keep the current commercial plan.
Electronics,Audio,2018-07-01,2018-07-31,2018-08-01,2018-08-31,22.0,26.0,93.75636363636363,79.5923076923077,2409.0,2469.1,18.18,-15.11,2.49,-0.18,-0.77,DRIFT,Directional,4,15.72,"Audio moved materially versus the baseline, with 2.5% revenue change, 18.2% unit change, and -15.1% average price movement.",Monitor the department and keep the current commercial plan.
Electronics,Computers Accessories,2018-07-01,2018-07-31,2018-08-01,2018-08-31,424.0,418.0,98.0695283018868,96.33715311004785,50161.6,48157.05,-1.42,-1.77,-4.0,0.02,-1.06,STABLE,High,5,15.72,Computers Accessories is broadly stable versus the selected baseline period.,Monitor the department and keep the current commercial plan.
Fashion,Fashion Male Clothing,2018-07-01,2018-07-31,2018-08-01,2018-08-31,5.0,3.0,41.739999999999995,127.23,295.68,466.98,-40.0,204.82,57.93,-0.33,1.56,DRIFT,Directional,1,55.02,"Fashion Male Clothing moved materially versus the baseline, with 57.9% revenue change, -40.0% unit change, and 204.8% average price movement.",Test targeted offers or bundles for high-intent customers instead of broad markdowns.
Fashion,Fashion Underwear Beach,2018-07-01,2018-07-31,2018-08-01,2018-08-31,2.0,2.0,54.9,109.95,141.32999999999998,246.76,0.0,100.27,74.6,-1.0,-17.62,DRIFT,Directional,2,55.02,"Fashion Underwear Beach moved materially versus the baseline, with 74.6% revenue change, 0.0% unit change, and 100.3% average price movement.",Check product quality signals and delivery experience before scaling promotions.
Fashion,Fashion Bags Accessories,2018-07-01,2018-07-31,2018-08-01,2018-08-31,75.0,127.0,81.61293333333333,64.3892125984252,7339.05,10035.75,69.33,-21.1,36.74,-0.38,0.11,DRIFT,Medium,3,55.02,"Fashion Bags Accessories moved materially versus the baseline, with 36.7% revenue change, 69.3% unit change, and -21.1% average price movement.",Monitor the department and keep the current commercial plan.
Fashion,Fashion Shoes,2018-07-01,2018-07-31,2018-08-01,2018-08-31,5.0,3.0,164.038,157.1,985.44,577.21,-40.0,-4.23,-41.43,-0.13,-9.24,DRIFT,Directional,4,55.02,"Fashion Shoes moved materially versus the baseline, with -41.4% revenue change, -40.0% unit change, and -4.2% average price movement.","Review demand generation, availability, and merchandising placement before discounting."
Fashion,Watches Gifts,2018-07-01,2018-07-31,2018-08-01,2018-08-31,528.0,416.0,182.22081439393938,173.74293269230768,106064.72,79391.86,-21.21,-4.65,-25.15,0.18,-1.76,DRIFT,High,5,55.02,"Watches Gifts moved materially versus the baseline, with -25.1% revenue change, -21.2% unit change, and -4.7% average price movement.","Review demand generation, availability, and merchandising placement before discounting."
